Airfoil name : NACA 65A510 - Camberline=1

Upper  X 	 Upper Y 
 0.00000	0.00000
 0.34090	0.88040
 0.57220	1.08990
 1.04980	1.41920
 2.27290	2.02250
 4.74670	2.95220
 7.23670	3.69390
 9.73520	4.32090
 14.74760	5.33980
 19.77190	6.12670
 24.80330	6.73620
 29.83960	7.18730
 34.87880	7.49750
 39.91940	7.67290
 44.96040	7.70030
 50.00000	7.56950
 55.03610	7.26740
 60.06680	6.82300
 65.09060	6.25590
 70.10640	5.58420
 75.11290	4.81900
 80.10940	3.97400
 85.09540	3.06420
 90.07050	2.09940
 95.03560	1.09390
 100.00000	0.00000

 Lower X 	Lower Y
 0.00000	0.00000
 0.65910	-0.63040
 0.92780	-0.73990
 1.45020	-0.88420
 2.72710	-1.09250
 5.25330	-1.37220
 7.76330	-1.57390
 10.26480	-1.73590
 15.25240	-1.97480
 20.22810	-2.14670
 25.19670	-2.26120
 30.16040	-2.32730
 35.12120	-2.34750
 40.08060	-2.31790
 45.03960	-2.22530
 50.00000	-2.05450
 54.96390	-1.82500
 59.93320	-1.62360
 64.90940	-1.42190
 69.89360	-1.22000
 74.88710	-1.01760
 79.89060	-0.81490
 84.90460	-0.61170
 89.92950	-0.40810
 94.96440	-0.20410
 100.00000	0.00000
